approved,raw_value,normalized_value,canonical_code,canonical_name,parent_code,parent_name,match_action,alias_source,confidence,review_notes
false,Dash 3000 inverter fru,dash 3000 inverter fru,DASH_3000_INVERTER_FRU,Dash 3000 inverter fru,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 3000 keypad,dash 3000 keypad,DASH_3000_KEYPAD,Dash 3000 keypad,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 3000/4000 Power supply,dash 3000/4000 power supply,DASH_3000/4000_POWER_SUPPLY,Dash 3000/4000 Power supply,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 4000 fru,dash 4000 fru,DASH_4000_FRU,Dash 4000 fru,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash 5000 keypad,dash 5000 keypad,DASH_5000_KEYPAD,Dash 5000 keypad,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash Pump,dash pump,DASH_PUMP,Dash Pump,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash Trim knob cover,dash trim knob cover,DASH_TRIM_KNOB_COVER,Dash Trim knob cover,,,review,inventory.description,30,unmatched candidate; requires review
false,Dash monitor part,dash monitor part,MULTIPARAMETER_MONITOR,Multiparameter Monitor,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,Dash500,dash500,DASH500,Dash500,,,review,inventory.description,30,unmatched candidate; requires review
false,Data port adapter,data port adapter,DATA_PORT_ADAPTER,Data port adapter,,,review,inventory.description,30,unmatched candidate; requires review
false,Diaphragm and seat subassy,diaphragm and seat subassy,DIAPHRAGM_AND_SEAT_SUBASSY,Diaphragm and seat subassy,,,review,inventory.description,30,unmatched candidate; requires review
false,Dinamap v100 connector,dinamap v100 connector,DINAMAP_V100_CONNECTOR,Dinamap v100 connector,,,review,inventory.description,30,unmatched candidate; requires review
false,Display inverter dash 4000,display inverter dash 4000,DISPLAY_INVERTER_DASH_4000,Display inverter dash 4000,,,review,inventory.description,30,unmatched candidate; requires review
false,Dome valve check,dome valve check,DOME_VALVE_CHECK,Dome valve check,,,review,inventory.description,30,unmatched candidate; requires review
false,Duckbill filter,duckbill filter,DUCKBILL_FILTER,Duckbill filter,,,review,inventory.description,30,unmatched candidate; requires review
false,E-PSMP Front Panel,e-psmp front panel,E-PSMP_FRONT_PANEL,E-PSMP Front Panel,,,review,inventory.description,30,unmatched candidate; requires review
false,E-PSMP STP SPO2 Board,e-psmp stp spo2 board,E-PSMP_STP_SPO2_BOARD,E-PSMP STP SPO2 Board,,,review,inventory.description,30,unmatched candidate; requires review
false,ECG Cable,ecg cable,ECG,ECG,,Patient Monitoring,review,inventory.description,65,taxonomy keyword candidate; requires review
false,Environmental sensor Assy,environmental sensor assy,ENVIRONMENTAL_SENSOR_ASSY,Environmental sensor Assy,,,review,inventory.description,30,unmatched candidate; requires review
false,Exhalation Valve Heater,exhalation valve heater,EXHALATION_VALVE_HEATER,Exhalation Valve Heater,,,review,inventory.description,30,unmatched candidate; requires review
false,Exhalation water trap,exhalation water trap,EXHALATION_WATER_TRAP,Exhalation water trap,,,review,inventory.description,30,unmatched candidate; requires review
false,FLM kit O2 oux,flm kit o2 oux,FLM_KIT_O2_OUX,FLM kit O2 oux,,,review,inventory.description,30,unmatched candidate; requires review
false,FLNSCH 24V DC,flnsch 24v dc,FLNSCH_24V_DC,FLNSCH 24V DC,,,review,inventory.description,30,unmatched candidate; requires review
false,Fan Motor,fan motor,FAN_MOTOR,Fan Motor,,,review,inventory.description,30,unmatched candidate; requires review
false,Fan filter,fan filter,FAN_FILTER,Fan filter,,,review,inventory.description,30,unmatched candidate; requires review
false,Filter,filter,FILTER,Filter,,,review,inventory.description,30,unmatched candidate; requires review
false,Filter Cap FRU,filter cap fru,FILTER_CAP_FRU,Filter Cap FRU,,,review,inventory.description,30,unmatched candidate; requires review
false,Filter Capsule,filter capsule,FILTER_CAPSULE,Filter Capsule,,,review,inventory.description,30,unmatched candidate; requires review
false,Filter F-CM1,filter f-cm1,FILTER_F-CM1,Filter F-CM1,,,review,inventory.description,30,unmatched candidate; requires review
false,Filter cap,filter cap,FILTER_CAP,Filter cap,,,review,inventory.description,30,unmatched candidate; requires review
false,Flexible plastic tubung 15m,flexible plastic tubung 15m,FLEXIBLE_PLASTIC_TUBUNG_15M,Flexible plastic tubung 15m,,,review,inventory.description,30,unmatched candidate; requires review
false,Flow Sensor,flow sensor,FLOW_SENSOR,Flow Sensor,,,review,inventory.description,30,unmatched candidate; requires review
false,Flow head regulator,flow head regulator,FLOW_HEAD_REGULATOR,Flow head regulator,,,review,inventory.description,30,unmatched candidate; requires review
false,Flow sensor Neonatal,flow sensor neonatal,FLOW_SENSOR_NEONATAL,Flow sensor Neonatal,,,review,inventory.description,30,unmatched candidate; requires review
false,Flow sensor adult SLE (4000/5000/6000),flow sensor adult sle (4000/5000/6000),FLOW_SENSOR_ADULT_SLE_(4000/5000/6000),Flow sensor adult SLE (4000/5000/6000),,,review,inventory.description,30,unmatched candidate; requires review
false,Flow sensor cleaning rock kit,flow sensor cleaning rock kit,FLOW_SENSOR_CLEANING_ROCK_KIT,Flow sensor cleaning rock kit,,,review,inventory.description,30,unmatched candidate; requires review
false,Flow transducer,flow transducer,FLOW_TRANSDUCER,Flow transducer,,,review,inventory.description,30,unmatched candidate; requires review
false,Fru dash 3000/4000,fru dash 3000/4000,FRU_DASH_3000/4000,Fru dash 3000/4000,,,review,inventory.description,30,unmatched candidate; requires review
false,Gas Mixer electronic,gas mixer electronic,GAS_MIXER_ELECTRONIC,Gas Mixer electronic,,,review,inventory.description,30,unmatched candidate; requires review
false,Harbess ACB to system switch,harbess acb to system switch,HARBESS_ACB_TO_SYSTEM_SWITCH,Harbess ACB to system switch,,,review,inventory.description,30,unmatched candidate; requires review
false,Heater cable,heater cable,HEATER_CABLE,Heater cable,,,review,inventory.description,30,unmatched candidate; requires review
